text,true_label,pred_label,region,confidence,correct,has_negation
تحالف ثمود يمتهن الكذب علي العالم و شغال طمس حقائق و تلبيس مواقف الحكومة الداعمة للعودة الطوعية و ليس القسرية كما يدعي ، كما انو لا يوجد اي ضغوط علي المواطنين الغير راغبيب في العودة باعتبار قرار العودة قرار شخصي متعلق بالشخص و ظروفة . اما فيما يختص بموضوع حملات القبض علي السودانيين في مصر و ترحيلهم فلا دخل لحكومة السودان به بل هو قرار الجهات المصرية اتخذته لضبط و تقنين الوجود الاجنبي لذلك علي الراغبين البقاء في مصر تقنين اوضاعهم و احترام قوانين البلد المضيف .,Negative,Negative,nile_basin,0.9146,True,True
تونسي دفعة واحدة او لا اكون تونسي حد الجنون ، قبصة، ،قرطاج. افريقية ، تونس ، مسميات عظيمة لبلاد لطالما سكنها شعب عظيم,Positive,Positive,maghrebi,0.9581,True,True
الله يرجع لبنان زي ما كانت,Positive,Positive,levantine,0.9653,True,True
اذا وحدة فلتانة ما الكل هيك وبكل عيلة في بالوعة وهدول بالوعة سوريا,Negative,Negative,levantine,0.9594,True,True
الله يهدي كل الرؤساء الي السلام فالحرب لا تجلب سوي الموت والدمار والجوع,Positive,Positive,levantine,0.7474,True,True
ابن العاهرة شو جايه يعمل لك ارجل جهاز انعاش ما عاد ينعشو جماعتك انتهي مشروعهم و اندفن باحد الانفاق يلي دفعتوا اموالكن عليها,Negative,Negative,levantine,0.9742,True,True
حلفوا يمين طويل عريض بالحفاظ علي وحدة اليمن وسلامة اراضيه . هذا الواقع وكلنا نعلم لكن هل سيعلم هذا الواقع المسكين اللي تحت حرارة الشمس يتم اخراجه ب4 الف لكي يكسب الغائد غرض سياسي هل سيعرف ان لا حقيقة سوا اليمن الواحد وان ماسواه فهو وهم وهم وهم,Positive,Negative,nile_basin,0.8495,False,True
ما بدهم ننزل مظاهرات يوم الجمعة بس نازلين لاسقاط الحكومة الفاشله,Negative,Negative,levantine,0.8295,True,True
"غناية ليك من صغري نحوس البرور . في الغربة عديت ايامي . درت البلدان . كالمخمور . نشوف في خيالك في منامي . نشوف في ذياب عليك تغور . نسات الي نحن ليك مالي . من دمعاتك بناو قصور . و نساو احوالك و احوالي . نرجعلك ديما ديما و نفرفط فارح . منحير في زناقك القديمة مهما بدات البارح . نرجع للات البدور فني و غرامي . بعرقي نكبر صغاري و نسقي نواري . مهما دارت الايام . ننسي يا بلادي المحال . مهما غاروا العديان . و الله ما يعيش فيك من خان . مهما دارت الايام . ننسي يا بلادي المحال . مهما دارت الايام . ترجع زينة البلدان . بلاد الحارة . المنزل و جارة . جبل بو مخلوف . زيارو بلا لوف . حزب المهدية . و الفسقية و الملاسين . السيدة المنوبية . بلادنا . الزين و القد . و العود الشايح . و السور الطايح . الي بايت ساري . مروح الفجاري . عارف اسرارك . الي مجرب كارك . بلاد و صعيب الباجي مكحل الغناجي . المسمية و ام الزين الجمالية . و الخمسة الي لحقو بالجرة . منك الموت يراجي . لحم و لا العرك المرة . المشهور الدغباجي . مهما دارت الايام . ننسي يا بلادي المحال . مهما غاروا العديان . و الله ما يعيش فيك من خان . مهما دارت الايام . ننسي يا بلادي المحال . مهما دارت الايام . ترجع زينة البلدان . Slam شايح , شايخ , خايخ و ماكل الطرايح . ربحت و خسرت اطراح , خوك من السلوم طايح . فدينا من الكبي و الي في جيبو يعبي . الي في القلب في القلب و ما يقعد شي مخبي . شنو عام , شنوما اثنين و شنوما عشرة سنين . انتي ترابنا , انتي امنا . انتي الصدر الحنين . 3000 سنة ما يذوبوش في رمشة عين . ما يقعد في الواد كان حجرو , برا اسال بوقرنين .",Positive,Positive,maghrebi,0.7332,True,True
شكلة زي المكلف حالق شنبك ومش هاذا وبس تسوي نفسك صحفي وانت زي مسيلمة الكذاب لا ترتبط شرف المهنة فيك من اي ناحية انت عبارة عن كومة كذب تخدم فيها الاخوان المسلمين,Negative,Negative,nile_basin,0.9718,True,True
مو لايق عليك الا طقاقه اصلا,Negative,Negative,gulf,0.9764,True,True
انتا يا مشاطة الخواجات تخت مركوب في خشمك وتسكت زول ما نافع وجاري ورا مطامع شخصية قصاد كرامه وسيادة شعبك,Negative,Negative,nile_basin,0.953,True,True
دولة الرئيس نتمني لكم التوفيق في مهمتكم الشبه مستحيلة،علي امل ان تصلوا الي التشكيلة الحكومية التي يصبو اليها كل اللبنانيين. حكومة كفاءات ونزاهة وشفافية،تحرص علي معالجة الفساد المستشري وتنهي التحاصص وتعيد انتظام الادارات بحسب الدستور وتفصل ما بين السلطات وتحترم المواطن وتعمل لاجله,Positive,Positive,levantine,0.9684,True,True
ارضهم عرضهم وشرفهم وانتي مالك لا الم ارض والشرف وعرضك مفضوح علي كل جنود الاحتلال,Negative,Negative,levantine,0.8998,True,True
سيري شوفيلك شي قصة من داك القصص الخاوية ديالك ولا شي قرعة وخلي عليك هادشي تستحق ما حدث لها لانها تمادت والاولي ان تخضع لعلاج نفسي,Negative,Negative,maghrebi,0.9637,True,True
مو حافظة الاغنية. وحاج. تنفخي تمك. ح ينفجر,Negative,Negative,levantine,0.8989,True,True
فعلا الله يعين وطننا وشعبنا علي ما يعيشه من ازمات وكوارث ربنا يحمي هالناس من ظلم الظالمين الذين اوصلونا الي ما نحن عليه,Positive,Positive,levantine,0.9727,True,True
بصرماي بدو يلغيهامين عينو مو نحن الاتصالات والكهرباء بلبلد زفت زفت .وفوقها تحررت مناطق الي عاساس مافي غاز عنا ومازوت وغيرها .شو حجتن .هدول حرمية .التبرعات وين راحت الاغبية الي تبرعوا شو انعمل بتبرعاتن لكل منطقة ولا شيكنا ع زمن الكلب نشكي هلا شكوانا اكتر واوجعوعم تصرخ الناس ويعملو حالن مو شايفين .تفي,Negative,Negative,levantine,0.9463,True,True
حقيقة ما بيشبهونا ولا باي شكل من الاشكال هول تجردو حتي من انسيتهم متحولين الي حيونه,Negative,Negative,levantine,0.9667,True,True
والله اذا المعيشة تتحسن ويتوفر كلشي للمواطن باقل التكاليف ليش ماننتخبو بس مو الشعب يركض من صبح للمسا ليدفع فواتير وضرائب ووو,Positive,Positive,levantine,0.9006,True,True
‏‪7:33‬‏ لا احنا ناكلو هكا التوانسا اما راهو مش حر,Positive,Negative,maghrebi,0.6049,False,True
المراه المصريه زمان كانت زوجه وام صالحه زمن امهاتنا وجداتنا . انما حاليا اصبحت امراه لا تحفظ العرض ولاتصونه وتفضح زوجها وتحكي ادق تفاصيل العلاقه بينهم لصديقاتها وتتعدي عليه بدنيا ولفظيا . والعجيب انهم يقولوا ان القانون في مصر يظلم المراه,Negative,Positive,nile_basin,0.8757,False,True
و الي ما تحشمش ، لعنة الله عليها و علي الي خراتها و علي الي رباها,Negative,Negative,maghrebi,0.9708,True,True
حتي كان مات ميتت رجالة في الميدان وفي بلاده مش عميل بايع وطنه شرفه وعرضه مقابل حفنه جنيهات,Positive,Positive,maghrebi,0.6141,True,True
بل انها نكبة اليمن الله لا سامحها ولا ابرا لها ذمة هذه الفاشلة,Negative,Negative,nile_basin,0.9743,True,True
شوفوا علي وجه عندها اقسم بالله الغثيان علي شكل الانسان دبا هادي غادي ينوض عليها زبي والله ما ينوض وكطلب عريضة تفوا علي وجه خنز,Negative,Negative,maghrebi,0.9746,True,True
اليوم عاد الابطال وهم يعرفون جيدا ان اهاليهم في انتظارهم تحملوا الجوع والمرض ولكن جواهم امل لم ينطفي وهم يعلمون علم اليقين ابنائهم لم يتخلوا عنهم فصبروا ونالوا صبرهم التحية والتقدير والاحترام لابناء القوات المسلحة والقوات المشتركة والمستفرين اللهم تقبل الشهداء واشفي الجرحي,Positive,Positive,nile_basin,0.9748,True,True
والجرحي ربهم وحد عمي سولنه حل لان ماكو هيچ تدقيق صار اربع سنوات علي هل حاله اطلقوا الرواتب وظلوا دققوا علي راحتكم ويلي تلگونه مزور او مو اصولي اقاضيه قانونين وارجع شكو شي اخذه واسجنه حتي بعد ما يعيده ويتعدي علي اموال الشهداء والجرحي,Positive,Negative,levantine,0.5739,False,True
ما لازم يكون رز القدرة الخليلية ولا عمره بنطبخ بهذا الرز الطويل الا بالرز العادي القديم الاصلي سبحان الله اطيب واجمل وافضل للي بستعملو التكميس بالاكل ومنظر اهداوان لا تكون مصنعة . هذا رايي وراي كثيرين .,Positive,Positive,levantine,0.9345,True,True
