Comment,dialect,platform,Category,label
"لو مو تنفون مراح احد ايصدك بيكم لانه رئيس حكومه خلصها جذب",Iraq,FB,Political,N
الله لا يوفق كل واحد انتخبهم وايدهم   عفيه راح تفتحوهه هجوم مباقت ما كافي تفاهم اومهازل اوهدرلاموال البلاد والعباد,Iraq,FB,Political,N
"عاشت ايدكم اذا مو هيجي ماتتراجع عصابة السوداني يكون وياها عصيان مدني
الجماهير اقوى من الطغاة
اذا كثرت الجباية شارفت الدولة على النهاية",Iraq,FB,Political,N
بلعكس مهما حولتم تحسنون صورته يبقى طاغية,Iraq,FB,Political,N
لكنه لم يقف مع شعبه أدخل العراق حر ثمان سنوات ثم أجتاح الكويت ثم حرب الخليج ليدخل شعبه حصار أقتصادي مميت حتى سلم العراق للأمريكان ليهرب ويختبئ في حفره ليلقى القبض عليه ويعدم خرج من جميع الحروب التي خاضها خاسرا ..أعدم مايقارب نصف مليون عراقي وفي ليلة أستلام الحكم سنة ١٩٧٩ أعدم ألف وأربعمائة من رفاقه في قاعة الخلد بحجة المؤامرة فيهم وزراء وقاده..أذهب إلى الكوكل وأبحث عن الجرائم التي أرتكبها,Iraq,FB,Political,N
هههههههههه ههههههههه اردني لو فلسطيني صح لو انا غلطان انتو ماتعرفون الحقيقه يوصللكم فقط الاعلام الكاذب هدام اكبر مجرم عرفته البشريه والتاريخ,Iraq,FB,Political,N
لعنت الله عليه بقدر ما لعن الاعنون,Iraq,FB,Political,N
" هذا المنعول اغرق العراق بويلات العراق غنى عنها بس حروب
وتاليته لابد بحفرى
ابشرفكم انتم تمجدون بيه ماتستحون
من تشوفونه من طلعوه بالحفرى
ومنوا شهد عليه النامق من اقرب المقربين الى
والله لوا داخل عدنا احنا الجنوب مااطيناه رغم حقده واعدامه بينا
الله له بالمرصاد وهاي نهايت الطاغي
نعلة الله عليه",Iraq,FB,Political,N
هذا طاغيه ومجرم ومأبون مايحبه الا نجس مثله لعنت الله على روحه,Iraq,FB,Political,N
خايب انجب حنه وين جنه عن صدام بس حلبجه كافي ذب عليهم كمياوي وصفه المطقه بل كامل هاي واحده منهن من قير المثرامه يثرم بيه البشر وبعدين هوه نفسه حترف رجال كال بل محكمه اني مومجرم عادي عمي شواسكت,Iraq,FB,Political,N
"تراوس برلمانك بالقياطين؟",Iraq,FB,Political,N
"الله يرحمه برحمته
صح شجاع وبطل ولكن انه على الصغيره والكبيرة يعدم بشعبه
هاذي أرواح له خطايا ويتم عايلات
ورمل نساء واعدم ابنا عجايز
وعنده حاشيه على كلمه يقتلون هم
بالشارع",Iraq,FB,Political,N
 لا في وثائق معتمده وفديوات الاباده الجماعيه ومجلس الامن الدولي يقر بيها مو بكيف مزاجك روحي تاكدي لان هناك حساب عند عزيز مقتدر,Iraq,FB,Political,N
 راح اعلق وياريت تردين عليه يامنال وصفتي الطاغوت بالصقر ولم ارى صقرا رايناه جرذ بالحفرة وليس بالسماء ووصفتيه بتاج الراس وانا لم ارى تاج على راسه لا يمثل شيمة الملوك بل الصعلوك ابن قرية اجير عند سائق باص شعبي مأبون مراهق في شبابه ابن شوارع والكل يعرف سيرة حياته وممكن تعرفين كل شي عنه في الفديوات وقلتي لم ياذي احد بدون سبب لكنه اعدم ناس ابرياءاطفال دفنوا وممكن ترجعين المستندات والفديوات التعذيب وأيضًا المطربين ولعبين كرة القدم وغيرهم الاكراد والعرب والابطال من الضباط من اهلنا الانبار محمد مظلوم والطبيب المشهور راجي التكريتي وغيرهم اذهبي واستقصي الملعومات والبقية هل كان شجاع لكنه لم يطلق طلقة على الامريكان حين خروجه من السرداب الحفرة وحرسه الخاص من ابن عمه ابلغ عن مكانه للامريكان فكفاكم مدحا وتمجيدًا هدم العراق دمر العراق بل الامريكان انقذوا العراق حقيقةً و أنقذوا الكويت من شر اعماله ،إن شاءالله في نار جهنم ابد الابدين ولعنه الله على كل ظالم ومن يمجد بيه ومن يترحم عليه اذهبي الى بلدك الاردن واهتموا في امور البريطاني (الاردن),Iraq,FB,Political,N
امرأة اعدم هذا المجرم ثلاث من ابنائها وجنابك تترحم عليه ؟؟ عليك احترام مشاعر ذوي الذين اعدمهم هذا المجرم عليك ان تدخل اليوتيوب وتبحث عن جرائم المقبور صدام قبل ان تترحم على روحه الله لايرحمه. كلب ابن كلب,Iraq,FB,Political,N
 جرذ 🐁 🐀 🐁 🐀 الحفرة عاش ظالم وقاتل ومات ظالم وقاتل ومصاص دماء اسال الله بحق محمد وال محمد ان يحشرك وكل واحد اعرابي معاه في جهنم,Iraq,FB,Political,N
قندره عل راسك وراسه عاش مجرم ومات ميتت الجرابيع,Iraq,FB,Political,N
الله يحشرك مع هدام أبن الزانية صبحة أبن اليهودي ونسبوا صدام المجرم ل حسين المجيد,Iraq,FB,Political,N
" يكفي قبل ينعدم بداخل الوطن وسجله التاريخ مع الابطال
خيوووو ماعد نحكي دشوف التعليقات وبعدين علك ياصعلوك",Iraq,FB,Political,N
من يناصر مج م مثل صدام ..فهو من نفس طينته كان دعس على خشمك,Iraq,FB,Political,N
نوب لمن تنزل وتضربه الدنيا تنكلب عليك وابن الدوله يتفل على العالم مايحاسبه الوزير ويسوي عبره لغيره,Iraq,FB,Political,N
"هذا زربه مو ضابط 
هذا ظابط دمج",Iraq,FB,Political,N
طوز فيكم 😂🤣🤣 أمريكا تتحكم عن بعد 😂🤣🤣,Iraq,FB,Political,N
حكومة الإطار الفاسدة راح توفر لكل فقير بيت وحديقة وهذا كلها من فلوس الضرائب والغرامات المرورية,Iraq,FB,Political,N
اووف خطيه لعد شوكت ترتاح بضل هاي الحكومه تعبانه لي كلمن حاير بروحه مع الاسف الشديد احنه بلد الخير وإعطاء هيج يصير بينه من وره الحكومات الفاسده,Iraq,FB,Political,N
خل ايشوفو المسؤولين مأسات الشعب العراقي المسكين شلون عايش احلى عيشه كافي كذب ودجل عيب,Iraq,FB,Political,N
"والله تجربة البعث بالحكم تخلي كل انسان طاهر المولد يتبرأ منها
ولكن امثالكم لا شرف لهم",Iraq,FB,Political,N
"أنصح بعد تجربة بقراءة وسماع الثنائي الرائع:أحمد فؤاد نجم والشيخ إمام.
جسّدا حالة ضياع العرب كلهم...
لله درك أيها الوطن المنهوب ويطلبون منا الولاء والانتماء.",Iraq,FB,Political,N
"انت وأهلك ومن خلفك ومن حبلك فدى شسع النعل لصدام حسين المجيد شهيد العرب",Iraq,FB,Political,N
أستاذ مديرية شؤون المديريات واللجان خوش منزلة كتاب ولله مهزلة على انوا المراجع اسبوع ويستلم الجواب من خلال نفس المديريه في المحافظة وهم نروح ليهم ماكوا جواب والله ضحك على عقول عوائل الشهداء كل معامله تبقى ١٠ سنوات حتى الكافر ما مسويه,Iraq,FB,Political,N
اللهم نعل حزب البعث داعشي أو نعل صبحه ام زلم ام البعث القذر,Iraq,FB,Political,N
حسبي الله ونعم الوكيل علئ كل قاتل وعلئ كل ظالم,Iraq,INS,Political,Neutral
وشتعرف منه عبد الكريم لْـۆ باقي حكم ملكي افضل عاد احنه هسه مثل الخليج دمرنه بجمهورية ونوب نقتل وتحول علئ للبعث لعنت الله عليهم زين بالمعركه وياهم ابن قصي شلون ترهم ونته كلت بس عدي وقصي اكو كذب بالموضوع,Iraq,FB,Political,N
نعلت الله عليه من يمه وبدت لعماله حاله حال لبقيه وحاله حال صدام وحاله حال لهسه لازمين الحكم انته صراحه هواي تبالغ بنشرك وعبالك عالم ماتعرف ولا عاشو مئسات الحكام,Iraq,FB,Political,N
"المهم انقتلو ...الحمدلله والشكر .العايله طفت وتهجولت ..ارامل وايتام وثكالى مطرودين مشحوتين..
والدول تتصدق عليهم.....عدالة ربك ههاي عمي",Iraq,FB,Political,N
هذا الشخص ليس لديه مصداقية بغض النظر عن ٣ اشخاص هم من العائلة صدام إلا ان هذا الفعل هو خسة ودانئ تسليم اشخاص كانوا متواجدين في بيته لماذا سمح بذلك من اول ولماذا لم يقتلهم مثلا سلمهم من اجل المال وسرق ايضا الاموال معهم,Iraq,FB,Political,N
"احاول اصدكك بس شوف الوراي 
والله صافن معقوله ذوله جانو يحكمون العراق",Iraq,FB,Political,N
"الاربعه يستحقون القتل
لكن الزيدان طمع بالمكرمه السخيه 50 مليون .وهو من اعوان النظام السابق .وهو يحمل قائد فرقه حزبي كبير . ارد الهروب من العراق لان دمه زيدان مطلوب من اهلي الموصل.فلعب لعبه عصفورين بحجر واحد
استلم المكافئه وهربوا الامريكان وهو عائله خارج العراق.",Iraq,FB,Political,N
"اي طبعاً طمعاً بالمكرمة ولا انت حسب قولهم يكولون تشتغل قواد(گواد) 
وبشر القاتل بالقتل.. أقذر عائلة حكمت التاريخ العراقي",Iraq,FB,Political,N
عاشت ايده خوش زلمه ناس متكبرين انه فهمت من كلامه انه مستعبدين الناس ويتمر ون وأهل مكه ادرا بشعبها هو اعرف بيهم,Iraq,FB,Political,N
"يعني هاي الزبايل كانت تحكم العراق 
الحمد لله الذي منحني من العمر لأرى بعيني عدالة السماء بحق هذه الحثالات المجرمة",Iraq,FB,Political,N
موحجاها القائد كاللهم تنذلون,Iraq,X,Political,N
عود اخذوها من رواتبكم يا حكومة الهمج,Iraq,X,Political,N
يعني من جانو يكولون الشيعه كفره ماصدك بس هسه صدوك اثبتتلي انكم كفره مكه المكرمه هيج تكول عليه إذن فعلا انتو مو اسلام تعبدون  القبور ولاتؤمنون بالله تعالى,Iraq,X,Political,N
تره زيارتنه مو عبالكم خلط مثل قوادة مكة زيارتنه منفصله,Iraq,X,Political,N
المشكله ليس بالحكومة وإنما المشكله بالشعب جاهل,Iraq,X,Political,N
يخي شعب كحبة محد يطلع عل حكومة خرا,Iraq,X,Political,N
جبانية هههههه بني اميه الانجاس ليس لديهم لا سلحنا ولا قوتنا ولا اغنى منا اندوسهم دوس الانجاس,Iraq,X,Political,N
والله نتمنى تجون للعراق  الا نخلي جثثكم تملا الارض .. مخانيث انتم امام العراق العظيم يا اقزام الدواعش,Iraq,X,Political,N
هوو شنو تساندونها هوو المواطن الايراني كاتله الجوع والظيم ويتظاهر انت شنوو حاطين والله مادري مايدافع عن الجلب غير الجلب,Iraq,X,Political,N
ينما حلت ايران و مليشياتها و أذنابها حل الخراب و الدمار و الفتن .,Iraq,X,Political,N
واكفين ضد الشعب الأيراني ههههه,Iraq,X,Political,N
لعل ابو ايران يابوك معمل واكف ويقول هذه حربنا كلكم منافقين ولكم البصره كانت ساتر للجبهة الشرقيه والله حيف على البصره,Iraq,X,Political,N
كذب اهل البصرة ليست هؤلاء واضح انهم من منظمة بدر وقواعدهم الانتخابية من خارج البصرة وهؤلاء لايمثلون البصرة واهلها,Iraq,X,Political,N
يا صدام واحد اخيس من الثاني,Iraq,X,Political,N
انعل ابو ايران لابو سوريا,Iraq,X,Political,N
ليش منو لي جاب هذا اللوكي غير أمريكا,Iraq,X,Political,N
بدت قذارة داعش سوريا ومخيم الهول,Iraq,X,Political,N
والله نتمنى تجون للعراق  الا نخلي جثثكم تملا الارض .. مخانيث انتم امام العراق العظيم يا اقزام الدواعش,Iraq,X,Political,N
وين كان اكو واحد كان يقدر يبوق فلس او يحوله للخارج في زمن صدام,Iraq,YT,Political,N
النائب غادة ايوب حقها تدافع عن ارض اصحابها من منطقتها ونائبة عنهم انوا يسترجعوا الاراضي من حزب الله ، هيدا حق لهم ، وهيي وحزب الله  حرة يتحاصموا بتصالحوا لبنانية ببعض ، بس انو اسرائيلية تطلع وبدا تحكي مين معو حق معناتها في حل من الأثنين  او اسرائيل والحزب متفقين وممنوع طرف لبناني,Lebanon,X,Women social,P
كلام معقول ومنطقي احسنت,Lebanon,X,Socialite,P
امك عشيقة ناتنياهو وانت ابنخا الغير شرعي,Lebanon,X,Women social,N
مين هالمرة البشعة 😅,Lebanon,X,Women social,N
حلو مبين انو وجهها منو عبارة عن تضاريس اصطناعية متل سائر الفنانات  ,Lebanon,FB,Women social,N
مفصومه انتي اكيد اطول طفه بلتاريخ لازم تاكليها بنص خلقتك تفففففففففففففففففففففففففففففففففففف,Lebanon,FB,Women social,N
خنث ودياثة,Lebanon,X,Women social,N
شو آسم المحاميه..بصراحه رووعه عجبتني.وشرح جميل,Lebanon,X,Women social,P
مدام مش موفقة ابدا بخطابك.. هيدا الي ذكرتي ما بيبني دولة.. الدولة هي مؤوسسات وسلطة وجيش قوي يقدر يدافع عن حدوده.. اما اذا جينا للمرأة فما بعتقد انه المرأة بلبنان مغلوب ع امرا متل ما حابين تصوروها,Lebanon,X,Women social,Neutral
ع راسي والله,Lebanon,X,Women social,P
جنسيتي كرامتي,Lebanon,X,Women social,P
و النعم دكتورة ,Lebanon,X,Women social,P
شيرين قبلها ي بتاع مع كل الحب لاليسا,Lebanon,X,Women social,Neutral
شيرين اول مرآة تكرمها بأول فنانة من مجال موسيقي,Lebanon,X,Women social,Neutral
شغل شرمصه,Lebanon,X,Women social,N
"اخرس ايها الخنزير عمامتك عمالتك فارسي متايرن 
لعنكم الله يا اولاد المتعه لا دين لكم ولا ولاء
تاكلون وتشربون من بائر العماله وتعايرون الوطنيين
انتهى النفخ بكم وبدوركم وحان وقت اقصائقم
اكتبو وصيّتكم واجمعو كلاكيشكم",Lebanon,X,Political,N
"يا شيخ الحممميي..ررر هالحكومة والفريق قصده فيها فريق الممانعة وحكومته لي مضييوا الإتفاق...
يعني يا ريتك خر..ريت وما حكيت يا مصص.وول",Lebanon,X,Political,N
الله يحرقك يا واطي,Lebanon,X,Political,N
و يا واطي ويا حقير ومجرم حرب، بس هو ولا يهمه هذا الكلام لأنه مغرور ويحتقر بقية الشعب اللبناني,Lebanon,X,Political,N
هيدا الحيوان صهيوني,Lebanon,X,Political,N
الشعب البناني يقول لك، سد بوزك يا عميل الفرس يا ابن الكلب,Lebanon,X,Political,N
بتفكر حالك بتنكت يا خاين ؟,Lebanon,FB,Political,N
كلامك صحيح الله يقويك والله يحمي لبناننا الحبيب,Lebanon,X,Political,P
بارك الله فيك,Lebanon,X,Socialite,Neutral
اللهم احفظ لبنان وشعبها  🇱🇧,Lebanon,X,Socialite,Neutral
فشرت وفشر اللي معك,Lebanon,FB,Socialite,N
"لبنان بلد السحر والفن والرقي
لبنان الازدهار والحضاره
لبنان الماضي والحاضر والمستقبل 
لبنان شموخ فيروز ، حنية اليسا ، صفاء وديع..
لبنان قطعة سما ❤️",Lebanon,YT,Socialite,P
اعرف عدوك تقتله . احقد عليه تقتل نفسك . ع فكرة انتا حافظ مش فاهم,Lebanon,FB,Socialite,N
لبنان لعنة التاريخ - لا أنصح أحد أن يزور هذا البلد,Lebanon,YT,Political,N
الله يفرجها على الجميع بالخير,Lebanon,FB,Socialite,P
حلو عنا ماحد مقرب صوبكم,Lebanon,FB,Socialite,P
لله يرحم شهداء لبنان 🇱🇧 بانفجار بيروت️ انا من لبنان 🇱🇧 مافي اجمل من لبنان ️,Lebanon,YT,Socialite,P
"عنصريين وجداااااااااا عنصرين",Lebanon,YT,Socialite,N
سويسرا الشرق وباريس العرب يبقى لبنان البلد العربي الأجمل بلا منازع صراحة ولكن للأسف بلد جميل بإقتصاد مدمر تحية محبة لكل البلدان العربية من لبنان 🇱🇧🇱🇧,Lebanon,YT,Socialite,P
"مافيهن يفهمو أن العبره بالرجال مش بالسلاح",Lebanon,FB,Political,P
صدقا كلام لا يفهمه الا الشرفاء الابطال,Lebanon,X,Socialite,Neutral
كلام منطقي وواقعي وياليت قومي يعقلون احسنت في منشورك حفظك الله,Lebanon,X,Socialite,Neutral
"شايف حاله على الزباله",Lebanon,YT,Socialite,N
شعب غبي جاهل يتبع زعماء الزبالة التي ساعدت بتدميره ويريد ان يحور تبعيته دائما إلى رموز دينية !,Lebanon,X,Socialite,N
الجهل معشش في راسك . في ناس عندهم سمنه بسبب مشاكل في الهرمونات وليس بسبب الاكل,Lebanon,YT,Socialite,N
موتي ,Lebanon,YT,Socialite,N
ما نطقت الا بالحق والله ، ان غدا لناظره لقريب,Lebanon,X,Socialite,Neutral
"الفسق والبذخ شوف حالك قبل ما تحكي علينا العمى شو بلا ذوق",Lebanon,YT,Socialite,N
" انت مجنون ولابعقلك",Lebanon,YT,Socialite,N
عطول بتبينو على حقيقتكم يا اوغاد .,Lebanon,X,Socialite,N
سلمنت يمناك.. و جزاك الله خير الجزاء.. أعظم الجهاد كلمة حق,Lebanon,X,Socialite,Neutral
لبنااان العشششق والجمال وكلشي حلو,Lebanon,YT,Socialite,P
"كول خرة ولا ليش شو عمل سيد حسن بتعرف لو بش موجود سيد حسن كان كل لبنان محتل ودواعش قاتلين الكل بقى ما تحكي عن سيد حسن وإيران هني انقذوا سوريا ودعموها",Lebanon,YT,Socialite,N
الله يحمي لبنان وشعبو خاصة بهالوضع هيدا,Lebanon,YT,Socialite,P
"بدا تنفك رقبتك بركي
شعب شحّاد",Lebanon,X,Socialite,N
"يا جربوع لمّا بلدك يتحوّل لمزرعة مفتوحة للدول وممر لجيوش الأرض ، وبيصير المواطن فيه لاجئ حتى ببيتو، ساعتها آخر شي فيك تحاضر عن سيادة بلدنا.
لملم خرايط بلدك المشرّحة والمباعة للغريب.
ولبنان شوكة بعيونكن وبقلوبكن ونفوسكن الوسخة وعصي كتير عليكن وأكبر من عِقدكن وحقدكن يا اوساخ الأرض",Lebanon,X,Political,N
"سد بوزك خيي😂😂😂",Lebanon,YT,Socialite,N
كانت لابس الشحاطة بس اجتك هالافكار؟,Lebanon,X,Socialite,N
فشرت على رقبتك ورقبة يلي خلفوك,Lebanon,FB,Socialite,N
وبعدن نفس المنهج ونفس الأسلوب .. لبنان بده زلزال يبلع كل شي فيه ليرجع بلد نظيف بشعب وطني يحبه و ولاءه اله بس  !!!,Lebanon,X,Socialite,N
"المراراه اتفقعت ي مفضوح",Lebanon,FB,Socialite,N
"الله ياخدك!",Lebanon,FB,Socialite,N
"كول *را انت وياها
واجمع شملك ون*برو فلو",Lebanon,FB,Socialite,N
"يعني شو راح نستفيد من او ٢ كلهم مثل بعض",Lebanon,FB,Socialite,N
لبنان ماحدا ببحبكم ابدا لئن قمت المياعه عندكم ,Lebanon,FB,Socialite,N
"يقطع خبرك ماازنخك ياغايزغااييييز لي يشيل عيونك
شد حالك",Lebanon,FB,Socialite,N
"علي رأي عادل امام للكلاب حظوظ",Lebanon,FB,Socialite,N
"انت ووديع خرية ومقسومة بشعرة",Lebanon,FB,Socialite,N
بلد الحب بلد فيروز بلد الصوت الجميل بلد الجمال بلد الحياة بلد كل شيء جميل صدقت فيروز حين قال من قلبي سلام لبيروت السلام لا يبعث من اللسان لبيرت بل من القلب يا قلب الوطن العربي ,Lebanon,YT,Socialite,P
لبنانيه وافتخر الله ما احلاه بلدي 🇱🇧,Lebanon,YT,Socialite,P
عنجد عطى صوره لحقيقية للبنان بجمالها وطبيعتها لخلابا. انا عايش بلبنان وبعشق لبنان.,Lebanon,YT,Socialite,P
عنجاد انو بلدنا حلو وكل البلدان حلوة 🇱🇧️,Lebanon,YT,Socialite,P
الشئ الحلو اللبناني انو مهما يصير علي شيئ مصيبة بيضا عم يضحك انا من لبنان,Lebanon,YT,Socialite,P
انا من لبنان بكيت بس شفت الفديوه عنجد لبنان حلوه وشعب لبنان شعب بيحب الحياه,Lebanon,YT,Socialite,P
الله يرجع لبنان زي ما كانت 🇱🇧,Lebanon,YT,Socialite,P
اهلًا وسهلا فيكي ب لبنان وشكرا عالزيارة وعالفيديو الجميل وهيك بتشجعي اللي بيخاف يزور لبنان فيديو جميل كلو طاقة إيجابية وأماكن راءعة شكرًا لؤلؤة ️️️ متابعة من لبنان 🇱🇧🇱🇧,Lebanon,YT,Socialite,P
مدري اتكلم عن جمااااال التصوير ولا جمال لبنان ولا جمالك يالولو الله يحميييييك,Lebanon,YT,Socialite,P
يا عمري يا لبنان حبيبتي أهلا وسهلا فيكي بي بلدنا وشكرا عل فيديو يلي بعقد,Lebanon,YT,Socialite,P
كل الحب من جنوب لبنان، بحب كل قطعة من بلدي وبحب ناسي وسعيدة جدا بزيارتك، عقبال ما نشوفك عنا بالجنوب شي يوم,Lebanon,YT,Socialite,P
جنوب لبنان حلو اكثر من الشمالي رح تستمتعي بس تروحي هناك خاصه مدينة صور وبيروت,Lebanon,YT,Socialite,P
ابدعتي بإظهار بلدي لبنان ️️الجميل,Lebanon,YT,Socialite,P
يا اخي خليها تتكلم بدون ما تقاطعها كل ثانية,Lebanon,YT,Socialite,P
بحبك يا لبنان يا وطني بحبك,Lebanon,YT,Socialite,P
اجمل حي برج حمود لان فيه شوبنغ اكل شي. واسعار منافسة ونوعية جيدة جداً. 😊,Lebanon,YT,Socialite,P
افتخري,Lebanon,X,Women social,P
رائعة كالعادة شكرا لتمثيلنا ارقى تمثيل 🙏🏻❤️,Lebanon,X,Women social,P
نفتخر بك.,Lebanon,X,Women social,P
كل الفخر والحب❤,Lebanon,X,Women social,P
حفظ الله لبنان وحفظ جميع البلدان العربية... آمين يارب,Lebanon,X,Political,P
هيدا بيّاع حكي فاضي رئيس حكومة فاضية,Lebanon,X,Political,N
أتفضل يا ممحون اعطي أوامر للجيش يواجه ويرد على الاسرائيلي يا اوسخ انسان حكم ب لبنان يا عميل يا منبطح,Lebanon,X,Political,N
الرئيس غر بالسياسةومتواطئ مع حزب المتعة وتصريحاته عنتريات فارغه سرعان ماسيدفع الجنوب ولبنان ثمنها,Lebanon,X,Political,N
انت مجرد طرطور وضعتك فرنسا وأمريكا خدمة لأجنداتهم,Lebanon,X,Political,N
انا مني عارفة كيف هالانسان صار قاضي وهوي كلمتين ع بعض ما بيعرف يحكي !! بيتلعثم الف مرة بالجملة بتأتأ وبمأمأ كل الوقت !! الله بعين ع هيك بلد وهيك زعماء,Lebanon,X,Political,N
معليش بهذا البلد كل شي بصير مثلا الجحش بعينوا قاضي ,Lebanon,X,Political,N
يا عميل يا مرتزقة ؟🤣🤣🤣🤣 وحضرتك حاطت صورة الولي مشغّلك يا وطني ؟,Lebanon,X,Political,N
"وين جماغه المسرحيات اختفواااا .",Lebanon,FB,Political,N
انبح بترتاح ,Lebanon,X,Political,N
تيس بني صهيون,Lebanon,X,Political,N
سد بوزك يا مأيرن,Lebanon,X,Political,N
"بشو بدك تحاور وانت عم تطرح فكرة تفكيك  لبنان ؟
مين انت بالأول يا صرماية ؟  
روح شوف بلدك يا سوري يا حلبي كيف صارت مفككة وفكر تعمل شي منشور  تطرح فيه أفكارك  كي ترجع سوريا الكبرى ! 
بوزك بتسده",Lebanon,X,Political,N
هذا اكثر من منحط وديوث وعاهر,Lebanon,X,Socialite,N
"سوف تبكون كاالنساء على وطني لم تحموا مثل الرجال
ناس عوارتها في عقولها
عقول فى عجول",Lebanon,X,Political,N
خنزير صهيوني,Lebanon,X,Political,N
دى رئاسة وزراء بنت ستين بوبى 🐕 🐕 🐕 ورأسة أوسخ بكتييييييير,Lebanon,X,Political,N
ما دام هناك ارض لبنانية محتلة وعدو محتل ينتهك الاتفاقيات والمعاهدات ويقصف ويقتل فمن حق الشعب والمقاومة ان تملك سلاح وتقاوم مادام الجيش خانع وخاضع,Lebanon,X,Political,P
احتفال بهذا الإنجاز,Lebanon,X,Socialite,P
يعطيهن العافية.,Lebanon,X,Political,P
يليها كتاب مليئ بالانجازات مطبوع على حساب الوزارة وكلفته مليون دولار 🙌❤️🥹,Lebanon,X,Political,P
دولة الاصلاح والسياده والقانون,Lebanon,X,Political,P
الشعب اللبناني بطبيعته يحب الحياة والفرح الكل فرحان معكم تستاهلون السلام بعد معاناة 🇱🇧❤️🙏,Lebanon,X,Political,P
الله يحفظ لبنان وفخامة الرئيس جوزيف عون هذا ما نتمناه ان يعود لبنان أرض سلام وحب.,Lebanon,X,Political,P
نحن بالإنتظار،  الله يسمع منّك، وإنشالله خير 🙏 الله يقويه,Lebanon,X,Political,P
"القرار سليم  ضرب يد ✋ جماعة أذرع 
إيران   يلي بدو إيران روح على إيران 
لبنان لن تسمح لكم بالعبث",Lebanon,X,Political,P
كلام كبير والله اننا نفرح لمثل هذه القرارات جيد جدا هاد القرار الصائب,Lebanon,X,Political,P
ترجع لبنان 🇱🇧 نظيفه و مرتبه,Lebanon,X,Political,P
"يقبرني ربك يا كبير يا جميل السيد
دايما بتصيب الهدف
الله يطول بعمرك ويعطيك كامل الصحة والعافية",Lebanon,X,Political,P
كلامك من ذهب سيادة اللواء .. لا احب ان اناديك بسعادة النائب لانه صارت شتيمة,Lebanon,X,Political,P
مع الرئيس عون رح يصير دولة أو بعد أن يكون أسس للدولة المنشودة المطلوبة,Lebanon,X,Political,P
مية بلمية الله يقويك ويحميك سيادة اللواء,Lebanon,X,Political,P
احسنت سيادة اللواء الله انعم عليك بنظرة ثاقبة ما عندنا ادنى شك بما تقوله وهو صحيح,Lebanon,X,Political,P
"لواء الحق ورئيس مجلس النواب القادم☺️",Lebanon,X,Political,P
"بلد ممثل برجل. 
رحم الله دوله الرئيس الشهيد رفيق الحريري",Lebanon,X,Political,P
"الله يرحمه ويحسن اليه 
ونحتسبه عندالله من الشهداء 
انا الله يمهل ولا يهمل 
وبشر القاتل بل قتل ولو بعد حين  قتل نصرالات 
 من تطاول عليك دولة الرئيس رفيق الحريري 
رحمك الله ياشهيد البنان 
والحريه",Lebanon,X,Political,P
الصادق المحب للبنان,Lebanon,X,Political,P
هههههههه مع احترامي لفانز اليسا,Lebanon,X,Women social,Neutral
كلام راق,Lebanon,X,Women social,P
"يسلم  كلامك  ايلانا الحب  الذي لا يستوعبه غير العقلاء 👏🏼",Lebanon,X,Women social,P
"الله يسعدك ويحفظك 🤍🕊",Lebanon,X,Women social,P
الله يقويك,Lebanon,X,Women social,P
يعطيك الف  عافيه والله  يقويك,Lebanon,X,Women social,P
قمر,Lebanon,X,Women social,P
السيدة الاولى هي السيدة التي فقدت اولادها منذ يومين في بنت جبيل هؤلاء هم السيدات الذي يجب ان يكونوا في المقدمة.,Lebanon,X,Women social,P
احسنت مدام نعمت، لبنان من زمان كان بحاجة لشخص متلك 😘😘,Lebanon,X,Women social,P
الحضانة للام مع سكن ونفقة في الاحوال الطبيعيه  .,Lebanon,X,Women social,P
حملة جنسيتي فخامتك هي حملة توطين مقنعة,Lebanon,X,Women social,P
الحمد لله على سلامتك ..الله يحميكي,Lebanon,X,Women social,P
الحمدلله على سلامتك نانسي 🙏 المخاض عسير بس انشالله منرتاح منهم قريباً,Lebanon,X,Women social,P
نظام جايبته من طيرْها,Lebanon,X,Women social,N
يارجال على زق ازعجت ام امنا يا افدغ مانبحت الا الحين,Lebanon,X,Women social,N
كسم الظلم والمفـْحبه,Lebanon,X,Women social,N
لهذا السبب وُجد قانون غسل العار حيث لا صوت يعلو فوق صوت الـ🔫⚔️,Lebanon,X,Socialite,N
لانها منافقة,Lebanon,X,Women social,N
"سرقة؟؟؟؟؟
انتو سرقتوا فلسطين بلد بأمه وابوه يا بنت الحراM
 عم تستشهد بكلامك المزور 😄👌
Be proud",Lebanon,X,Women social,N
"كابتن ايلا
عندما انظر الى وجهك  يحدث ارتخاء فى القضيب",Lebanon,X,Women social,N
كابتن ايلا وايش يسون بيكي ف جيش الشربه بينكحوكي ولا كيف,Lebanon,X,Women social,N
ويش دخل امك من المرءاه البنانيه انتي مجرد خنزيره عاهره,Lebanon,X,Women social,N
أرضهم عرضهم وشرفهم وانتي مالك لا الم ارض والشرف وعرضك مفضوح على كل جنود الاحتلال,Lebanon,X,Women social,N
خرا عليكي و ع د و ل ة تعيتك,Lebanon,FB,Women social,N
خليكي في نفسك يابنت دين الكلب,Lebanon,X,Women social,N
يابنت اليهودي يا فاجرة لا تتدخلي بالمسلمين,Lebanon,X,Women social,N
"لا قد ما أنتوا خوات منيوكه بتضلكوا تنشروا اخبار كذاب و لا لا تكذبوا ع شعبكوا 😂😂😂
القناه ٣٣ الاسرائليه فضحتكوا",Lebanon,X,Women social,N
